bangla_speech,combined,ipa_output
আমি ৪ মাস আগে পরিবারের পছন্দে বিয়ে করেছি,Barishal  মুই চাইর মাস আগে পরিবারের পছন্দে বিয়া করছি,bɐɾɔhɐl  mu͡ɪ̯ cɐ͡ɪ̯ɾ mɐʃ ɐge poɾɪbɐɾeɾ pɔcʰond̪e bɪʲɐ koɾcʰɪ
আমি সকাল ৮ টাই ডিউটিতে চলে যাই,Barishal  মুই বেইন্নাহালে আট্টায় ডিউটি তে চইল্লা যাই,bɐɾɔhɐl  mu͡ɪ̯ be͡ɪ̯nnɐhɐle ɐttɐe̯ dɪ͡u̯tɪ t̪e co͡ɪ̯llɐ ɟɐ͡ɪ̯
আমার স্ত্রী একদিনও সময়মতো টেবিলে খাবার দিতে পারে না অনেক সময় বাইরে গিয়ে নাস্তা করি,Barishal  মোর বউ একদিনো সময়েরকালে টেবিলে খাওন দেতে পারেনা অনেক সময় বায়রায় যাইয়া নাস্তা করি,bɐɾɔhɐl  moɾ bɔ͡u̯ ɛkd̪ɪno ʃɔmɔʲeɾkɐle tebɪle kʰɐ͡o̯n d̪et̪e pɐɾenɐ ɔnek ʃɔmɔe̯ bɐʲɾɐe̯ ɟ
সে এতো সকালে নাকি উঠতে পারে না,Barishal  হ্যায় বেইন্নাহালে বোলে ওঠতে পারে না,bɐɾɔhɐl  hɛe̯ be͡ɪ̯nnɐhɐle bole otʰt̪e pɐɾe nɐ
সে তার বাপের বাড়িতে থাকতে নাকি ১০ টার আগে ঘুম থেকে উঠতো নাহ,Barishal  হ্যায় হ্যার বাফের বাড়ি থাহারকালে বোলে দশ টার আগে ঘুমে গোনে ওঠতে না,bɐɾɔhɐl  hɛe̯ hɛɾ bɐpʰeɾ bɐɽɪ t̪ʰɐhɐɾkɐle bole d̪ɔʃ tɐɾ ɐge gʱume gone otʰt̪e nɐ
সে প্রচন্ড অলস একটা কাজ সময়মতো করতে পারে না,Barishal  হ্যায় বেমালা আইলশা এউক্কা কাম সময়েরকালে করতে পারে না,bɐɾɔhɐl  hɛe̯ bemɐlɐ ɐ͡ɪ̯lʃɐ e͡u̯kkɐ kɐm ʃɔmɔʲeɾkɐle koɾt̪e pɐɾe nɐ
"সারাদিন বাসায় বসে ফেইসবুক, টিকটকে সময় কাটে তার","Barishal  হারাদিন বাড়ি বইয়া ফেসবুক, টিকটকে সময় কাড্য হ্যার","bɐɾɐbɐɾɐd̪ɪn bɐɽɪ bo͡ɪ̯ʲɐ pʰesbuk, tɪktke ʃɔmɔe̯ kɐdd̪o hɛɾ"
আমাদের মধ্যে প্রায়সময় ঝগড়া হয়,Barishal  মোগো মইধ্যে ক্যালক্যাল কাইজ্জা বাজে,bɐɾɔhɐl  mogo mo͡ɪ̯d̪d̪ʱe kɛlokɛl kɐ͡ɪ̯ɟɟɐ bɐɟe
আমি খুব সমস্যায় আছি,Barishal  মুই ম্যালা সমস্যায় আছি,bɐɾɔʃɐl  mu͡ɪ̯ mɛlɐ ʃɔmoʃʃɐe̯ ɐcʰɪ
দিন দিন হতাশার মধ্যে ডুবে যাচ্ছি এর মুক্তি পাবো কিভাবে?,Barishal  পেরতেকদিন হতাশার মইধ্যে ডুইব্বা যাইতেয়াছি এইয়ার মুক্তি পামু ক্যামনে?,bɐɾɔʃɐl  peɾt̪ekd̪ɪn hot̪ɐʃɐɾ mo͡ɪ̯d̪d̪ʱe du͡ɪ̯bbɐ ɟɐ͡ɪ̯t̪eʲɐcʰɪ e͡ɪ̯ʲɐɾ mukt̪ɪ pɐmu
আমি সত্যিই খুব অসহায় বোধ করতেছি,Barishal  মুই সত্যই ম্যালা অসহায় বোধ করতেয়াছি,bɐɾɔʃɐl  mu͡ɪ̯ ʃot̪t̪o͡ɪ̯ mɛlɐ ɔʃɔhɐe̯ bod̪ʱ koɾt̪eʲɐcʰɪ
পোস্ট ভালো না লাগলে এড়িয়ে যান,Barishal  পোস্ট ভালো না লাগলে এড়াইয়া যান,bɐɾɔhɐl  post bʱɐlo nɐ lɐgle eɽɐ͡ɪ̯ʲɐ ɟɐn
একটা মেয়ে ছয়টা ছেলের সাথে প্রেম করছে,Barishal  এউক্কা মাইয়া ছউজ্ঞা পোলার লগে প্রেম করতেয়াছে,bɐɾɔʃɐl  ɛ͡u̯kkɐ mɐ͡ɪ̯ʲɐ cʰɔ͡u̯ggɐ polɐɾ lɔge pɾem koɾt̪eʲɐcʰe
ভিডিও বানানোর কী দরকার ছিল?,Barishal  ভিডিউ বানাইন্নার কি দরকার আল্লেহ?,bɐɾɔhɐl  bʱɪdɪ͡u̯ bɐnɐ͡ɪ̯nnɐɾ kɪ d̪ɔɾkɐɾ ɐlleh?
আমার তো মনে হয় মেয়েদের একাধিক ডেট করা উচিত,Barishal  মোর তো মনে কয় মাইয়াগো একছের ডেট করা উচিত,bɐɾɔhɐl  moɾ t̪o mone kɔe̯ mɐ͡ɪ̯ʲɐgo ɛkcʰeɾ det kɔɾɐ ucɪt̪
এমন করতেসে কেন বসে বসে?,Barishal  এইরহম করতেয়াছে কির লইজ্ঞা বইয়া বইয়া?,bɐɾɔhɔm  e͡ɪ̯ɾɔhɔm koɾt̪eʲɐcʰe kɪɾ lo͡ɪ̯ggɐ bo͡ɪ̯ʲɐ bo͡ɪ̯ʲɐ?
তিনি হিসেব মেলাতে পারছেন না,Barishal  হ্যায় হিশাব  মিলাইতে পারতেয়াছে না,bɐɾɔhɐl  hɛe̯ hɪʃɐb  mɪlɐ͡ɪ̯t̪e pɐɾt̪eʲɐcʰe nɐ
এ কী করে সম্ভব,Barishal  এইয়া ক্যামনে সম্ভব,bɐɾɔhɐl  e͡ɪ̯ʲɐ kɛmone ʃɔmbʱɔb
তুমি ঘুম থেকে উঠে আমাকে কল দিও,Barishal  তুমি ঘুমে গোনে উইটঠা মোরে ফোন কইররো,bɐɾɔhɐl  t̪umɪ gʱume gone u͡ɪ̯ttʰɐ moɾe pʰon kɪɾoɾo
তুমি এত ঘুমায় কেন ?,Barishal  তুমি এত্তো ঘুমাও কির লইজ্ঞা?,bɐɾɪʃɐl  t̪umɪ ɛt̪t̪o gʱumɐ͡o̯ kɪɾ lo͡ɪ̯ggɐ?
তোমার এত ঘুম আসে কেন ?,Barishal  তোমার এত্তো ঘুম আয় কির লইজ্ঞা?,bɐɾɔhɐl  t̪omɐɾ ɛt̪t̪o gʱum ɐe̯ kɪɾ lo͡ɪ̯ggɐ?
তোমার সাথে আমার জরুরি কথা আছে,Barishal  তোমার লগে মোর দরকারি কথা আছে,bɐɾɔhɐl  t̪omɐɾ lɔge moɾ d̪ɔɾkɐɾɪ kɔt̪ʰɐ ɐcʰe
একটা স্বাভাবিক মানুষ এত ঘুমায় না,Barishal  এউক্কা স্বাভাবিক মানু এত্তো ঘুমায় না,bɐɾɔhɐl  e͡u̯kkɐ ʃɐbʱɐbɪk mɐnu ɛt̪t̪o gʱumɐe̯ nɐ
আমার সকালে উঠেই চা খাওয়ার অভ্যাস,Barishal  মোর বেইন্যাহালে উইটঠাই চা খাওনের অভ্যাস,bɐɾɔhɐl  moɾ be͡ɪ̯nnɐhɐle u͡ɪ̯ttʰɐ͡ɪ̯ cɐ kʰɐ͡o̯neɾ ɔbbʱɐʃ
আমার সন্ধায় কফি খাওয়ার অভ্যাস আছে,Barishal  মোর সন্ধায় কফি খাওনের অভ্যাস আছে,bɐɾɪʃɐl  moɾ ʃond̪ʱɐe̯ kopʰɪ kʰɐ͡o̯neɾ ɔbbʱɐʃ ɐcʰe
তুমি দুপুরে কি দিয়ে ভাত খেয়েছ ?,Barishal  তুমি দুফারে কিদ্যা ভাত খাইছেলা?,bɐɾɔhɐl  t̪umɪ d̪upʰɐɾe kɪd̪d̪ɐ bʱɐt̪ kʰɐ͡ɪ̯cʰelɐ?
তুমি কি রাতের বেলা বাহিরে বের হবে ?,Barishal  তুমি কি রাইতের কালে বায়রায় বাইর হবা?,bɐɾɔhɐl  t̪umɪ kɪ ɾɐ͡ɪ̯t̪eɾ kɐle bɐʲɾɐe̯ bɐ͡ɪ̯ɾ hɔbɐ?
আপনার সব থেকে কাছে মানুষটি কে ?,Barishal  আমনের সব চাইয়া ধারের মানুডা কেডা?,bɐɾɔhɐl  ɐmoneɾ ʃɔb cɐ͡ɪ̯ʲɐ d̪ʱɐɾeɾ mɐnudɐ kedɐ?
আপনার সাথে কথা বলতে অনেক ভালো লাগে আমার,Barishal  আমনের লগে কথা কইতে পাইরা ভালো লাগছে মোর,bɐɾoneɾ lɔge kɔt̪ʰɐ ko͡ɪ̯t̪e pɐ͡ɪ̯ɾɐ bʱɐlo lɐgcʰe moɾ
আমার অনেক খারাপ লাগছে,Barishal  মোর ম্যালা খারাপ লাগছে,bɐɾɔhɐl  moɾ mɛlɐ kʰɐɾɐp lɐgcʰe
আমার মনে হয় যে আমি কিছুই মনে রাখতে পারছি না,Barishal  মোর মনে কয় যে মুই কিছুই মনে রাখতে পারতেয়াছি না,bɐɾɔhɐl  moɾ mone kɔe̯ ɟe mu͡ɪ̯ kɪcʰu͡ɪ̯ mone ɾɐkʰt̪e pɐɾt̪eʲɐcʰɪ nɐ
আমার ছোটো বোন নানার বাড়ীতে ঘুরতে গিয়েছে,Barishal  মোর ছোডো বুইন নানা বাড়ি ঘোরতে গ্যাল্লেহ,bɐɾɔhɐl  moɾ cʰodo bu͡ɪ̯n nɐnɐ bɐɽɪ gʱoɾt̪e gɛlleh
সে পরের মাসে বিদেশ চলে যাবে,Barishal  হ্যায় পরের মাসে বিদ্যাশ চইল্লা যাইবে,bɐɾɔhɐl  hɛe̯ pɔɾeɾ mɐʃe bɪd̪d̪ɐʃ co͡ɪ̯llɐ ɟɐ͡ɪ̯be
মেয়েটি খুবই বেয়াদপ,Barishal  মাইয়াডা বেমালা বেদ্দপ,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ bemɐlɐ bed̪d̪op
মেয়েটি সারাক্ষন মিথ্যে কথা বলে,Barishal  মাইয়াডা হারাদিন মিছা কথা কয়,bɐɾɔʃɐl  mɐ͡ɪ̯ʲɐdɐ hɐɾɐd̪ɪn mɪcʰɐ kɔt̪ʰɐ kɔe̯
ছেলেটি রাস্তা দিয়ে হেঁটে যাচ্ছে,Barishal  পোলাডা রাস্তা দিয়া হাইট্টা যাইতেয়াছে,bɐɾɔʃɐl  polɐdɐ ɾɐst̪ɐ d̪ɪʲɐ hɐ͡ɪ̯ttɐ ɟɐ͡ɪ̯t̪eʲɐcʰe
একটি বিড়াল দরজার সামনে বসে আছে,Barishal  এউক্কা বিলোই দুয়ারের সামনে বইয়া রইছে,bɐɾɔhɐl  ɛ͡u̯kkɐ bɪlo͡ɪ̯ d̪uʲɐɾeɾ ʃɐmne bo͡ɪ̯ʲɐ ɾo͡ɪ̯cʰe
একটি কুকুর রাস্তায় বসে আছে,Barishal  এউক্কা কুত্তা রাস্তায় বইয়া রইছে,bɐɪʃɐl  ɛ͡u̯kkɐ kut̪t̪ɐ ɾɐst̪ɐe̯ bo͡ɪ̯ʲɐ ɾo͡ɪ̯cʰe
একটি সাদা রঙের পাখি আকাশে উড়ছে,Barishal  এউক্কা সাদা রঙের পক্ষি আকাশে ওড়তেয়াছে,bɐɾɔhɐl  ɛ͡u̯kkɐ ʃɐd̪ɐ ɾɔŋeɾ pokkʰɪ ɐkɐʃe oɽt̪eʲɐcʰe
অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,Barishal  জুয়ান এউক্কা পোলা বায়রায় ফুটপাতে দৌড়াইতেয়াছে,bɐɾɪʃɐl  ɟuʲɐn ɛ͡u̯kkɐ polɐ bɐʲɾɐe̯ pʰutpɐt̪e d̪o͡u̯ɽɐ͡ɪ̯t̪eʲɐcʰe
আমি কাজে যেতে চাই না,Barishal  মুই কামে যাইতে চাই না,bɐɪʃɐl  mu͡ɪ̯ kɐme ɟɐ͡ɪ̯t̪e cɐ͡ɪ̯ nɐ
আপনি এই কলমটি নিন,Barishal  আমনে এই কলমডা নেন,bɐɪʃɐl  ɐmone e͡ɪ̯ kɔlomdɐ nen
আমাকে সত্যি কথা বলুন,Barishal  মোরে সত্য কথা কন,bɐɪʃɐl  moɾe ʃot̪t̪o kɔt̪ʰɐ kon
তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও,Barishal  তুমি ঘুমে গোনে হওয়ালে উইটঠা যাও,bɐɾɔhɐl  t̪umɪ gʱume gone hoʷɐle u͡ɪ̯ttʰɐ ɟɐ͡o̯
আপনি ঘুম থেকে উঠতে চান না,Barishal  আমনে ঘুমে গোনে ওঠতে চান না?,bɐɪʃɐl  ɐmone gʱume gone otʰt̪e cɐn nɐ?
আমি সকালে নাস্তা করে স্কুলে যাই,Barishal  মুই বেইন্যাহালে নাস্তা কইররা ইস্কুলে যাই,bɐɾɔhɐl  mu͡ɪ̯ be͡ɪ̯nnɐhɐle nɐst̪ɐ ko͡ɪ̯ɾɾɐ ɪskule ɟɐ͡ɪ̯
আমার সকালে কিছু খেতে  ভালো লাগে না,Barishal  মোর বেইন্যাহালে কিছু খাইতে ভাল লাগে না,bɐɾɔhɐl  moɾ be͡ɪ̯nnɐhɐle kɪcʰu kʰɐ͡ɪ̯t̪e bʱɐlo lɐge nɐ
আমরা হেরে গেছি,Barishal  মোরা ঠইজ্ঞা গ্যাছি,bɐɾɪʃɔl  moɾɐ tʰo͡ɪ̯ggɐ gɛcʰɪ
আমরা হেরে গেছিলাম,Barishal  মোরা ঠইজ্ঞা গ্যাল্লাম,bɐɾɔʃɐl  moɾɐ tʰo͡ɪ̯ggɐ gɛllɐm
আমটি কে খেয়েছিল?,Barishal  আমডা কেডা খাইল্লে?,bɐɾɔhɐl  ɐmdɐ kedɐ kʰɐ͡ɪ̯lle?
আমি হারিয়ে গেছি,Barishal  মুই হারাইয়া গেছি,bɐɾɔhɐl  mu͡ɪ̯ hɐɾɐ͡ɪ̯ʲɐ gecʰɪ
আমি ঠিক আছি,Barishal  মুই ঠিক আছি,bɐɾɔhɐl  mu͡ɪ̯ tʰɪk ɐcʰɪ
আমাকে বিশ্বাস করো,Barishal  মোরে বিশ্বাস করো,bɐɪʃɐl  moɾe bɪʃʃɐʃ koɾo
আমার প্রশ্নের জবাব দিন,Barishal  মোর প্রশ্নের উত্তর দেন,bɐɾɔhɐl  moɾ pɾosneɾ ut̪t̪oɾ d̪ɛn
আমি তাকে দখতে পেলাম,Barishal  মুই হ্যারে দ্যাখতে পাইলাম,bɐɾɔhɐl  mu͡ɪ̯ hɛɾe d̪ɛkʰot̪e pɐ͡ɪ̯lɐm
আমাকে ঢুকতে দিন,Barishal  মোরে ঢোকতে দেন,bɐɾɔhɐl  moɾe dʱokt̪e d̪ɛn
আমাকে যেতে দাও,Barishal  মোরে যাইতে দেও,bɐɪʃɐl  moɾe ɟɐ͡ɪ̯t̪e d̪e͡o̯
এখানে অপেক্ষা করুন,Barishal  এইহানে অপেক্ষা করেন,bɐɾɔhɐl  e͡ɪ̯hɐne ɔpekkʰɐ kɔɾen
আমি অসুস্থ হয়ে পরেছিলাম,Barishal  মুই অসুস্থ হইয়া পরছেলাম,bɐɾʃɐl  mu͡ɪ̯ ɔʃust̪ʰo ho͡ɪ̯ʲɐ poɾcʰelɐm
আমি ওদের দেখতে পেলাম,Barishal  মুই অগো দ্যাখতে পাইলাম,bɐɾɪhɐl  mu͡ɪ̯ ɔgo d̪ɛkʰt̪e pɐ͡ɪ̯lɐm
সময় শেষ হয়ে গেছে,Barishal  সময় শ্যাষ হইয়া গ্যাছে,bɐɾɔhɐl  ʃɔmɔe̯ ʃɛʃ ho͡ɪ̯ʲɐ gɛcʰe
আমরা অপেক্ষা করব,Barishal  মোরা অপেক্ষা করমু,bɐɾɔhɐl  moɾɐ ɔpekkʰɐ koɾmu
তিনি উঠে দাঁড়ালেন,Barishal  হ্যায় উইটঠা খারাইছে,bɐɾɔhɐl  hɛe̯ u͡ɪ̯ttɐ kʰɐɾɐ͡ɪ̯cʰe
আমি বেশি লম্বা,Barishal  মুই বেশি উচা,bɐɾɔhɐl  mu͡ɪ̯ beʃɪ ucɐ
আমি ক্ষমা চাইছি,Barishal  মুই মাফ চাই,bɐɾɔhɐl  mu͡ɪ̯ mɐpʰ cɐ͡ɪ̯
আমি ফিরে এলাম,Barishal  মুই ফিররা আইলাম,bɐɾɔhɐl  mu͡ɪ̯ pʰɪɾɾɐ ɐ͡ɪ̯lɐm
আমি কেক পছন্দ করি,Barishal  মুই কেক পছন্দ করি,bɐɾɪʃɐl  mu͡ɪ̯ kek pɔcʰond̪o koɾɪ
একটু ঘুমিয়ে নাও,Barishal  এট্টুহানে ঘুমাইয়া লও,bɐɾɪʃɐl  ettuhɐne gʱumɐ͡ɪ̯ʲɐ lɔ͡o̯
আমি একা ছিলাম,Barishal  মুই এল্লাহ আল্লাম,bɐɾhɐl  mu͡ɪ̯ ellɐh ɐllɐm
আমার সঙ্গে আসুন,Barishal  মোর লগে আয়েন,bɐɪʃɔl  moɾ lɔge ɐʲen
তিনি রেগে গেছিলেন,Barishal  হ্যায় চেইত্যা গ্যাল্লেহ,bɐɾɔhɐl  hɛe̯ ce͡ɪ̯t̪t̪ɐ gɛlleh
আমার হাতটা ধরুন,Barishal  মোর হাতটা ধরেন,bɐɾɔhɐl  moɾ hɐt̪tɐ d̪ʱɔɾen
আমি অবাক হয়ে গেছিলাম,Barishal  মুই অবাক হইয়া গ্যাল্লাহম,bɐɾɔhɐl  mu͡ɪ̯ ɔbɐk ho͡ɪ̯ʲɐ gɛllɐhom
আমি আসবো না,Barishal  মুই আমু না,bɐɪʃɐl  mu͡ɪ̯ ɐmu nɐ
আমি হারবো না,Barishal  মুই ঠগমু না,bɐɾɔhɐl  mu͡ɪ̯ tʰɔgmu nɐ
আমার হাত ব্যাথা করছে,Barishal  মোর হাতে ব্যাথা করতেয়াছে,bɐɾɔhɐl  moɾ hɐt̪e bɛt̪ʰɐ koɾt̪eʲɐcʰe
আমার পা ব্যাথা করছে,Barishal  মোর ঠ্যাঙ্গে ব্যাথা করতেয়াছে,bɐɾɔhɐl  moɾ tʰɛŋge bɛt̪ʰɐ koɾt̪eʲɐcʰe
আপনাকে কে পাঠিয়েছে?,Barishal  আমনেরে কেডা পাডাইছে?,bɐɾɔhɐl  ɐmoneɾe kedɐ pɐdɐ͡ɪ̯cʰe?
তোমাকে দেখে অসুস্থ বলে মনে হচ্ছে,Barishal  তোমারে দেইখ্যা অসুস্থ্য বইললা মনে হইতেয়াছে,bɐɾɔhɐl  t̪omɐɾe d̪e͡ɪ̯kʰkʰɐ ɔʃust̪ʰo bo͡ɪ̯llɐ mone ho͡ɪ̯t̪eʲɐcʰe
আপনারা আগে যান,Barishal  আমনেরা আগে যান,bɐɾɔhɐl  ɐmoneɾɐ ɐge ɟɐn
আমাকে ডাকবেন না,Barishal  মোরে বোলাইবেন না,bɐɾɔhɐl  moɾe bolɐ͡ɪ̯ben nɐ
আমার হলুদ রঙ পছন্দ,Barishal  মোর হইলদা রঙ পছন্দ,bɐɾɔhɐl  moɾ ho͡ɪ̯ld̪ɐ ɾɔŋ pɔcʰond̪o
আমি আপেল পছন্দ করি,Barishal  মুই আফেল পছন্দ করি,bɐɾɪʃɐl  mu͡ɪ̯ ɐpʰel pɔcʰond̪o koɾɪ
আমার ঠান্ডা লেগেছে,Barishal  মোর ঠান্ডা লাগজে,bɐɾɔhɐl  moɾ tʰɐndɐ lɐgɟe
আমার খিদে পাচ্ছে,Barishal  মোর খিদা পাইতেয়াছে,bɐɾɔʃɐl  moɾ kʰɪd̪ɐ pɐ͡ɪ̯t̪eʲɐcʰe
আমি বিদেশে গেছিলাম,Barishal  মুই বিদ্যাশ গ্যাল্লাহম,bɐɾɔhɐl  mu͡ɪ̯ bɪd̪d̪ɐʃ gɛllɐhom
আমি ভেতরে গেলাম,Barishal  মুই ভিতরে যাই,bɐɪʃɐl  mu͡ɪ̯ bʱɪt̪ɔɾe ɟɐ͡ɪ̯
সে রেগে গেছিলো,Barishal  হ্যায় চেইত্যা গ্যাল্লেহ,bɐɾɔhɐl  hɛe̯ ce͡ɪ̯t̪t̪ɐ gɛlleh
আমাকে ওখানে নিয়ে চলুন,Barishal  মোরে ওইহানে লইয়া লয়েন,bɐɾɔhɐl  moɾe o͡ɪ̯hɐne lɔ͡ɪ̯ʲɐ lɔʲen
সে আমার স্ত্রী,Barishal  হ্যায় মোর বউ,bɐɾɔhɐl  hɛe̯ moɾ bɔ͡u̯
আপনাকে দেখে অসুস্থ বলে মনে হচ্ছে,Barishal  আমনেরে দেইখ্যা অসুস্থ্য বইললা মনে হইতেয়াছে,bɐɾɔhɐl  ɐmoneɾe d̪e͡ɪ̯kʰkʰɐ ɔʃust̪ʰo bo͡ɪ̯llɐ mone ho͡ɪ̯t̪eʲɐcʰe
আমাদের বিয়ের পর থেকেই নানা ছোটখাটো কারনে ঝগড়া লেগে থাকতো,Barishal  মোগো বিয়ার পরে গোনেই ম্যালা ছোডোখাডো কারনে কাইজ্যা লাইজ্ঞা থাকতে,bɐɾɔʃɐl  mogo bɪʲɐɾ pɔɾe gone͡ɪ̯ mɛlɐ cʰodokʰɐdo kɐɾone kɐ͡ɪ̯ɟɟɐ lɐ͡ɪ̯ggɐ t̪ʰɐkt̪e
আমি বুঝতে পারতাম তার অন্য কোথাও সম্পর্কে আছে,Barishal  মুই বোঝতে পারছেলাম হ্যার অন্য কোনহানে সম্পর্ক আছে,bɐɾɔhɐl  mu͡ɪ̯ boɟʱot̪e pɐɾcʰelɐm hɛɾ ɔnno konhɐne ʃɔmpoɾko ɐcʰe
সে কোন দিন স্বীকার করে না,Barishal  হ্যায় কোন কালে স্বীকার করে না,bɐɾɔhɐl  hɛe̯ kon kɐle ʃɪkɐɾ koɾe nɐ
এভাবে নানা রকম ঝামেলা হতে থাকে,Barishal  এমনে বিভিন্ন ধরনের সমেস্যা হইতে থাহে,bɐɪʃɐl  ɛmone bɪbʱɪnno d̪ʱɔɾoneɾ ʃɔmeʃʃɐ ho͡ɪ̯t̪e t̪ʰɐhe
আমাদের পারিবারিক ভাবে বিয়ে হয়,Barishal  মোগো পারিবারিক ভাবে বিয়া হয়,bɐɾɔhɐl  mogo pɐɾɪbɐɾɪk bʱɐbe bɪʲɐ hɔe̯
যখন বাড়ীতে জানাই তখন নানা রকম কথা হয়,Barishal  যহন বাসায় কই তহন বিভিন্ন তারহার কথা হয়,bɐɾɔʃɐl  ɟɔhon bɐʃɐe̯ ko͡ɪ̯ t̪ɔhon bɪbʱɪnno t̪ɐɾhɐɾ kɔt̪ʰɐ hɔe̯
বেশ কয়েক বার তাকে সু্যোগ দেয়া হয়,Barishal  বেমালা বার হ্যারে সুযোগ দেওয়া হইছে,bɐɾɔhɐl  bemɐlɐ bɐɾ hɛɾe ʃuɟog d̪e͡o̯ʷɐ ho͡ɪ̯cʰe
কিন্তু সে ভালো হয়না,Barishal  তয় হ্যায় ভালো হয় না,bɐɾɔhɐl  t̪ɔe̯ hɛe̯ bʱɐlo hɔe̯ nɐ
অনেক দিন বাবার বাসায় ছিলাম,Barishal  ম্যালা দিন বাফের বাড়ি আল্লাহম,bɐɾɔhɐl  mɛlɐ d̪ɪn bɐpʰeɾ bɐɽɪ ɐllɐhom
"তোমাকে ছাড়া বাচবো, তোমার বিয়েতেও নাচবো","Barishal  তোমারে থুইয়া বাচমু, তোমার বিয়াতেও নাচমু","bɐɾɪʃɐl  t̪omɐɾe t̪ʰu͡ɪ̯ʲɐ bɐcmu, t̪omɐɾ bɪʲɐt̪e͡o̯ nɐcmu"
সে তখন আবারো ফিরে চায় আমাকে,Barishal  হ্যায় হেইকালে ফিররা ফেরত চায় মোরে,bɐɾɔhɐl  hɛe̯ he͡ɪ̯kɐle pʰɪɾɾɐ pʰeɾt̪o cɐe̯ moɾe
এক পর্যায়ে এমন অবস্থা করে মে আমিও দূবল হয়ে যাই,Barishal  এক কালে এরহম অবস্থা করছেলে যে মুইও দূর্বল হইয়া যাই,bɐɾɔhɐl  ɛk kɐle eɾohɔm ɔbost̪ʰɐ koɾcʰele ɟe mu͡ɪ̯o d̪uɾbol ho͡ɪ̯ʲɐ ɟɐ͡ɪ̯
কিছু দিন সে ভালো থাকে,Barishal  কয়ডা দিন হ্যায় ভালো আল্লেহ,bɐɾhɐl  kɔʲdɐ d̪ɪn hɛe̯ bʱɐlo ɐlleh
তারপর একের পর এক অশান্তি বাড়তে থাকে,Barishal  হেইয়ারপর এউক্কার পর এউক্কা অশান্তি বাড়তেই থাহে,bɐɾɔhɐl  he͡ɪ̯ʲɐɾpɔɾ ɛ͡u̯kkɐɾ pɔɾ e͡u̯kkɐ ɔʃɐnt̪ɪ bɐɽt̪e͡ɪ̯ t̪ʰɐhe
সে যার সাথে সম্পর্কে জড়িয়ে তাকে বিয়ে করবে না বলে কিন্তু সম্পর্ক রাখবে,Barishal  হ্যায় যের লগে সম্পর্কে জড়াইছে হ্যারে বিয়া করবেনা কয় তয় সম্পর্ক রাখবে,bɐɾɔʃɐl  hɛe̯ ɟeɾ lɔge ʃɔmpoɾke ɟɔɽɐ͡ɪ̯cʰe hɛɾe bɪʲɐ koɾbenɐ kɔe̯ t̪ɔe̯ ʃɔmpoɾko ɾɐkʰbe
সে শুধু আমাকে খাবার টুকু ঠিক মত দেয় যেন কাউকে বলতে না পারি,Barishal  হ্যায় খালি মোরে খাওন ডু ঠিক মত দ্যায় যানি কাউরে কইতে না পারি,bɐɾɔhɐl  hɛe̯ kʰɐlɪ moɾe kʰɐ͡o̯n du tʰɪk mɔt̪ d̪ɛe̯ ɟɐnɪ kɐ͡u̯ɾe ko͡ɪ̯t̪e nɐ pɐɾɪ
আমার তো একটা হাত খরচ লাগে তাও সে দেয়না,Barishal  মোর তো এউক্কা হাত খরচ লাগে হেইয়াও হ্যায় দ্যায় না,bɐɾɔhɐl  moɾ t̪o e͡u̯kkɐ hɐt̪ kʰɔɾoc lɐge he͡ɪ̯ʲɐ͡o̯ hɛe̯ d̪ɛe̯ nɐ
বাবা হিসেবে ছেলেকে ভালবাসে অনেক,Barishal  বাফ হিসাবে পোলারে ভালবাসে ম্যালা,bɐɾɔhɐl  bɐpʰ hɪʃɐbe polɐɾe bʱɐlbɐʃe mɛlɐ
চুপ ছিলাম বুঝাইছি অনেক লাভ হয়নি,Barishal  চুপ আল্লাহম বুঝাইছি বেমালা লাভ হয় নাই,bɐɾɔhɐl  cup ɐllɐhom buɟʱɐ͡ɪ̯cʰɪ bemɐlɐ lɐbʱ hɔe̯ nɐ͡ɪ̯
এক পর্যায়ে আবারো বাড়িতে জানানো হয়,Barishal  এক কালে ফিররা বাড়িতে জানাইন্না হয়,bɐɾɔhɐl  ɛk kɐle pʰɪɾɾɐ bɐɽɪt̪e ɟɐnɐ͡ɪ̯nnɐ hɔe̯
তখন সে অনেক খারাপ আচরন করে,Barishal  হেইকালে হ্যায় ম্যালা খারাপ আচরন করছেলে,bɐɾɔhɐl  he͡ɪ̯kɐle hɛe̯ mɛlɐ kʰɐɾɐp ɐcɾɔn koɾcʰele
সে আমার পরিবারের কাউকে সম্মান করেনা,Barishal  হ্যায় মোর বাড়ির কাউরে সম্মান করেনা,bɐɾɔhɐl  hɛe̯ moɾ bɐɽɪɾ kɐ͡u̯ɾe ʃɔmmɐn kɔɾenɐ
"সে কারো কথা বলেনা ,কারো বাসায় যায়না","Barishal  হ্যায় কেউর কথা কয়না, কাউরে সম্মান করেনা","bɐɾɔhɐl  hɛe̯ ke͡u̯ɾ kɔt̪ʰɐ kɔʲnɐ, kɐ͡u̯ɾe ʃɔmmɐn kɔɾenɐ"
