bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
প্রশ্নের,prɔɕn̪erɔ,প্রশ্নের,pɾosneɾ,প্রশ্ন'র,pɾosno'ɾo,প্রশ্নের,pɾosneɾ,প্রশ্নের,pɾosneɾ,ফ্রশ্নর,fɾosnɔɾ,Question,,
প্রিয়,prie̯ɔ,পিরিও,pɪɾɪ͡o̯,ভালা,bʱɐlɐ,প্রিয়,pɾɪʲo,ফ্রিয়,pʰɾɪʲo,ফ্রিয়,fɾɪʲo,Beloved,,
প্রিয়,prie̯ɔ,প্রিয়,pɾɪʲo,প্রিয়,pɾɪʲo,প্রিয়,pɾɪʲo,ফ্রিও,pʰɾɪ͡o̯,ফ্রিয়,fɾɪʲo,Beloved,,
প্রেমে,preme,একজনের,ɛkɟoneɾ,জনর,ɟɔnoɾ,প্রেমে,pɾeme,লগে,lɔge,একজন,ɛkzon,In love,,
পড়াতে,pɔɽat̪e,পড়াইতে,pɔɽɐ͡ɪ̯t̪e,পড়ানিত,pɔɽɐnɪt̪o,পড়াইতে,pɔɽɐ͡ɪ̯t̪e,হড়াইতে,hɔɽɐ͡ɪ̯t̪e,গেইল।,ge͡ɪ̯l।,In reading,,
পড়ালেখাতে,pɔɽal̪ekʰat̪e,পড়াল্যাহায়,pɔɽɐlɛhɐe̯,ফড়ালেখাতে,pʰɔɽɐlekʰɐt̪e,পড়ালেহাতে,pɔɽɐlehɐt̪e,হড়ালেখাত,hɔɽɐlekʰɐt̪,ফন্নাফরনত,fɔnnɐfɔɾonɔt̪o,In the study,,
ফলে,ɸɔl̪e,লইজ্ঞা,lo͡ɪ̯ggɐ,যাওয়ায়,zɐ͡o̯ʷɐe̯,কারনে,ɔkte͡ɐ̯bɔɾe,ফলে,pʰɔle,অক্টবরত,ɔktbɔɾɔt̪o,As a result,,
ফিরছিলাম,ɸirt͡ɕʰil̪am,আইতেছেলাম,ɐ͡ɪ̯t̪ecʰelɐm,আইফরছিলাম,ɐ͡ɪ̯pʰɔɾcʰɪlɐm,ফিরছিলাম,pʰɪɾcʰɪlɐm,হিচ্ছিলাম,hɪccʰɪlɐm,আইর,ɐ͡ɪ̯ɾ,I was back,,
ফিরছিলেন,ɸirt͡ɕʰil̪en̪,যাইতেয়াছেলে,ɟɐ͡ɪ̯t̪eʲɐcʰele,দিকে,d̪ɪke,ফিরতাসিন,pʰɪɾot̪ɐʃɪn,হিরের,hɪɾeɾ,ইক্কা,ɪkkɐ,Was returning,,
ফুটপাতে,ɸutpat̪e,ফুটপাতে,pʰutpɐt̪e,ফুটপাতে,pʰutpɐt̪e,বাইরে,bɐ͡ɪ̯ɾe,ফুটপাতে,pʰutpɐt̪e,লাফাদ্দে,lɐfɐd̪d̪e,Pavement,,
ফুটবল,ɸutɔbɔl̪ɔ,ফুটবল,pʰutbɔl,ফুটবল,pʰutbɔl,ফুটবল,futbɔl,খেলছে,kʰelcʰe,ফুটবল,futbɔl,Football,,
ফুটবলারগুলি,ɸutɔbɔl̪arɡul̪i,ফুটবলারগুলান,pʰutbɔlɐɾgulɐn,জনপ্রিয়,ɟɔnopɾɪʲo,ফুটবলারগুলা,pʰutbɔlɐɾgulɐ,ফুটবলারঅগল,pʰutbɔlɐɾɔgɔl,ফুটবলার,futbɔlɐɾ,Footballers,,
ফুটবলে,ɸutɔbɔl̪e,ফুটবলে,pʰutbɔle,ফুটবলও,pʰutbɔlo,ফুটবলে,pʰutbɔle,ফুটবলে,pʰutbɔle,ফুটবলত,futbɔlɔt̪o,Football,,
ফুটবলের,ɸutɔbɔl̪erɔ,ফুটবল,pʰutbɔl,ফুটবল,pʰutbɔl,ফুটবলের,pʰutbɔleɾ,ফুটবলের,futbɔleɾ,ফুটবল,futbɔl,Football,,
ফুফু,ɸuɸu,হুবু,hubu,ফুফু,pʰupʰu,ফুফু,pʰupʰu,হু,hu,ফুফুর,fufuɾ,Fufu,,
ফুসকা,ɸus̪ka,ফুচকা,pʰuckɐ,খাইমো,kʰɐ͡ɪ̯mo,ফুসকা,pʰuʃkɐ,ফুসকা,pʰuʃkɐ,হাইয়ুম,hɐ͡ɪ̯ʲum,Splash,,
ফেলা,ɸel̪a,হালাইন্না,hɐlɐ͡ɪ̯nnɐ,ফালালি,pʰɐlɐlɪ,ফেলা,pʰelɐ,হেলন,helon,দেলন,d̪ɛlon,Put out,,
আচরন,at͡ɕɔrɔn̪ɔ,আচরণ,ɐcɾɔn,করের,kɔɾeɾ,আচরন,ɐcɾɔn,আচরন,ɐcɾɔn,আচরন,ɐcɾɔn,,,
আচরনে,at͡ɕɔrɔn̪e,আচরনে,ɐcɾɔne,ফুড়ির,pʰuɽɪɾ,আচরনে,ɐcɾɔne,আচরনে,ɐcɾɔne,ফরিবরতন,foɾɪbɔɾɔt̪on,,,
আছে,at͡ɕʰe,আছে,ɐcʰe,আছইন,ɐcʰo͡ɪ̯n,আসে?,ɐʃe?,রইছে,ɾo͡ɪ̯cʰe,আচে,ɐce,There is,,
আছে?,at͡ɕʰe?,আছে?,ɐcʰe?,আছইন,ɐcʰo͡ɪ̯n,আসে?,ɐʃe?,আছে?,ɐcʰe?,আচে,ɐce,Do you have,,
আছেন,at͡ɕʰen̪,আছে,ɐcʰe,সুখে,ʃuxe,আসেন,ɐʃen,আসে,ɐʃe,আসে,ɐʃe,There is,,
আছেন,at͡ɕʰen̪ɔ,আছেন?,ɐcʰen?,আছোইন,ɐcʰo͡ɪ̯n,আসেন,ɐʃen,আছেন,ɐcʰen,আচন,ɐcon,There is,,
আছেন?,at͡ɕʰen̪ɔ?,লইজ্ঞা,ɐcʰen?,আছইন,ɐcʰo͡ɪ̯n,আসেন?,ɐʃen?,আছেন?,ɐcʰen?,আচন?,ɐcon?,Are you,,
আছো?,at͡ɕʰo?,আছো?,ɐcʰo?,আফনারা?,ɐpʰnɐɾɐ?,আসো?,ɐʃo?,আছো,ɐcʰo,আচো,ɐco,Are you,,
আজও,ad͡ʑo,আইজও,ɐ͡ɪ̯ɟo,এবোধরি,ebod̪ʱoɾɪ,আইজও,ɐ͡ɪ̯ɟo,আই,ɐ͡ɪ̯,আইযো,ɐ͡ɪ̯zo,Even today,,
আজকাল,ad͡ʑkal̪ɔ,আইজকাল,ɐ͡ɪ̯ɟkɐl,আইজকাইল,ɐ͡ɪ̯ɟkɐ͡ɪ̯l,আজকাইল,ɐɟkɐ͡ɪ̯l,আজকাইল,ɐɟkɐ͡ɪ̯l,আইযহাল,ɐ͡ɪ̯zɐl,Nowadays,,
আজীবন,ad͡ʑibɔn̪ɔ,হারাজীবন,hɐɾɐzɪbɔn,জীবন,ɟɪbɔn,আজীবন,ɐɟɪbɔn,আজীবন,ɐzɪbɔn,জীবন,ɟɪbɔn,Lifetime,,
আনন্দের,an̪ɔn̪d̪erɔ,খুশির,kʰuʃɪɾ,আনন্দর,ɐnond̪ɔɾ,আনন্দের,ɐnond̪eɾ,আনন্দের,ɐnond̪eɾ,আনন্দর,ɐnond̪ɔɾ,Joyful,,
আপনারাও,apn̪arao,আমনেরাও,ɐmoneɾɐ͡o̯,আফনারাও,ɐpʰnɐɾɐ͡o̯,আফনেরাও,ɐpʰoneɾɐ͡o̯,আন্নেরাও,ɐnneɾɐ͡o̯,অনেরাও,oneɾɐ͡o̯,You too,,
আপু,apu,আফা,ɐpʰɐ,আফারে,ɐpʰɐɾe,আপু,ɐpu,অসম্ভব,ɔʃɔmbʱɔb,আফারে,ɐpʰɐɾe,Apocalyptic,,
আপুকে,apuke,আফারে,ɐpʰɐɾe,আফারে,ɐpʰɐɾe,আপুরে,ko͡ɪ̯ʃɪ,আপাকে,bolcʰɪ,আফারে,ɐfɐɾe,Apocalyptic,,
আমাজন,amad͡ʑɔn̪ɔ,আমাজন,ɐmɐɟon,আমাজন,ɐmɐɟon,আমাজন,ɐmɐɟon,আমাজন,ɐmɐɟon,আমাযন,ɐmɐzon,Amazon,,
আমি,ami,মুই,mu͡ɪ̯,মুই,mu͡ɪ̯,আমি,ɐmɪ,আই,ɐ͡ɪ̯,আই,ɐ͡ɪ̯,I,,
আমিও,amio,মুইও,mu͡ɪ̯o,মুইও,mu͡ɪ̯o,আমিও,ɐmɪ͡o̯,যে,ɟe,আইও,ɐ͡ɪ̯o,Me too,,
আয়োজন,ae̯od͡ʑɔn̪ɔ,আয়োজন,ɐʲoɟon,আয়োজন,ɐʲoɟon,আয়োজন,ɐʲoɟon,যোগাড়,ɟogɐɽ,আয়োজন,ɐʲozon,Arrangement,,
আরামপ্রিয়,aramɔprie̯ɔ,আরাম,ɐɾɐm,আরামপ্রিয়,ɐɾɐmpɾɪʲo,আরামপ্রিয়,ɐɾɐmpɾɪʲo,আরামখোজইন্না,ɐɾɐmkʰoɟɪnnɐ,আরাম,ɐɾɐm,Comfortable,,
আরামে,arame,আরামে,ɐɾɐme,মনোযোগ,monoɟog,আরামে,ɐɾɐme,আরামে,ɐɾɐme,আরাম,ɐɾɐm,At ease,,
আরে!,are!,অরে,ɔɾe,আরেহ!,ɐɾeho!,আরে!,ɐɾe!,আরে!,ɐɾe!,আরে,ɐɾe,Hey!,,
ফেসবুক,ɸes̪bukɔ,ফেসবুক,pʰesbuk,ফেইসবুক,pʰe͡ɪ̯sbuk,ফেসবুক,pʰesbuk,ফেসবুক,pʰesbuk,ফেসবুক,fesbuk,Facebook,,
ফেসবুকে,ɸes̪buke,ফেসবুকে,pʰesbuke,ফেসবুকো,pʰesbuko,ফেসবুকে,pʰesbuke,ফেসবুক,pʰesbuk,ফেসবুক,fesbuk,On Facebook,,
ফোনে,ɸon̪e,ফোনে,pʰone,ইগুয়ে,ɪguʲe,ফোনে,pʰone,ফোন,pʰon,ফোন,fon,By phone,,
ফ্লাইওভার,ɸl̪aiob̤arɔ,ফেলাইওভার,pʰelɐ͡ɪ̯obʱɐɾ,ফ্লাইওভার,pʰlɐ͡ɪ̯obʱɐɾ,ফ্লাইওভার,pʰlɐ͡ɪ̯obʱɐɾ,ফ্লাইওভার,pʰlɐ͡ɪ̯obʱɐɾ,ফ্লাইওভার,flɐ͡ɪ̯ovɐɾ,Flyover,,
বদমেজাজি,bɔd̪ɔmed͡ʑad͡ʑi,চ্যাতা,cɛt̪ɐ,রাগি,ɾɐgɪ,বদমেজাজি,bɔd̪meɟɐɟɪ,বদমেজাজি,bɔd̪meɟɐɟɪ,একজন,ɛkzon,Dazzling,,
বন্ধুত্ব,bɔn̪d̪̤ut̪bɔ,বন্ধুত্ব,bond̪ʱut̪t̪o,বন্ধুত্ব,bond̪ʱut̪t̪o,বন্ধুত্ব,bond̪ʱut̪t̪o,বন্ধুত্ব,bond̪ʱut̪t̪o,বন্ধুত্ব,bond̪ʱut̪t̪o,Friendship,,
বয়সে,be̯ɔs̪e,বয়সে,bɔʲoʃe,বয়সে,bɔʲoʃe,বয়সে,bɔʲoʃe,বয়সে,bɔʲoʃe,ছোড,cʰod,In the age of,,
বরং,bɔrɔŋ,নিজেই,nɪɟe͡ɪ̯,বরঞ্চ,bɔɾonc,বরং,bɔɾoŋ,পারো,pɐɾo,বরং,bɔɾoŋ,Rather than,,
বরিশালে,bɔriɕal̪e,বরিশাল,boɾɪʃɐl,বরিশাল,boɾɪʃɐl,বরিশালে,t̪ʰɐhe,বরিশালে,t̪ʰɐe̯,বরিশাল,boɾɪʃɐl,Barisal,,
বরিশালের,bɔriɕal̪erɔ,বরিশালের,boɾɪʃɐleɾ,বরিশালর,boɾɪʃɐlɔɾ,বরিশালের,boɾɪʃɐleɾ,বরিশালের,boɾɪʃɐleɾ,বরিশালর,boɾɪʃɐlɔɾ,Barisal,,
বর্ষা,bɔrʂa,বইশ্যা,bo͡ɪ̯ʃʃɐ,মেগ,meg,বর্ষা,bɔɾʃɐ,বর্ষার,bɔɾʃɐɾ,বর্ষা,bɔɾʃɐ,Monsoon,,
বলছিল,bɔl̪ɔt͡ɕʰil̪ɔ,কইছিলো,ko͡ɪ̯cʰɪlo,কইছলা,ko͡ɪ̯cʰɔlɐ,কইসিল,ko͡ɪ̯sɪlo,কইছিলো,ko͡ɪ̯cʰɪlo,হইলো,ho͡ɪ̯lo,Was saying,,
বলছিলো,bɔl̪ɔt͡ɕʰil̪o,কইছেলে,ko͡ɪ̯cʰele,কইছিল,ko͡ɪ̯cʰɪlo,কইসিলো,ko͡ɪ̯sɪlo,কইছিলো,ko͡ɪ̯cʰɪlo,হইয়েদে,ho͡ɪ̯ʲed̪e,Was saying,,
বলতাম,bɔl̪ɔt̪am,কইতাম,ko͡ɪ̯t̪ɐm,মাততাম,mɐt̪t̪ɐm,কইতাম,ko͡ɪ̯t̪ɐm,কইতাম,ko͡ɪ̯t̪ɐm,হইতাম,ho͡ɪ̯t̪ɐm,Used to say,,
বলতে,bɔl̪ɔt̪e,কইতে,ko͡ɪ̯t̪e,মাততে,mɐt̪t̪e,কইতে,ko͡ɪ̯t̪e,কইত,ko͡ɪ̯t̪o,বইলতে,bo͡ɪ̯lt̪e,To say,,
বলতো,bɔl̪ɔt̪o,কইতো,ko͡ɪ̯t̪o,মাত,mɐt̪,কইতো,ko͡ɪ̯t̪o,কতা,kɔt̪ɐ,হইত,ho͡ɪ̯t̪o,Used to say,,
বলব,bɔl̪ɔbɔ,কমু?,komu?,খতা,xɔt̪ɐ,কমু,komu?,কইতাম,ko͡ɪ̯t̪ɐm,হয়্যুম,hoʲd̪ʱum,To say,,
বলবে।,bɔl̪ɔbe।,কইবে,ko͡ɪ̯be,কইবো,ko͡ɪ̯bo,কইব,ko͡ɪ̯bo,কইবো,ko͡ɪ̯bo,হইবো,ho͡ɪ̯bo,Will say,,
বলবো,bɔl̪ɔbo,না,nɐ,নায়,nɐe̯,কইতাম,ko͡ɪ̯t̪ɐm,না,nɐ,ন,nɔ,I will say,,
বললেও,bɔl̪ɔl̪eo,কইলেও,ko͡ɪ̯le͡o̯,তাইন,t̪ɐ͡ɪ̯n,কইলেও,ko͡ɪ̯le͡o̯,কইলেও,ko͡ɪ̯le͡o̯,চুপ,cup,But also,,
বলেছিলও,bɔl̪et͡ɕʰil̪o,কইসেল,ko͡ɪ̯ʃel,কইছলা,ko͡ɪ̯cʰɔlɐ,কইসিল,ko͡ɪ̯sɪl,কৈসিলো,ko͡ɪ̯sɪlo,ত,t̪o,Also said,,
বলেননি,bɔl̪en̪n̪i,কন,nɐ͡ɪ̯,কইলা,ko͡ɪ̯lɐ,কন,kon,কন,kon,ন,nɔ,Did not say,,
বলেনি,bɔl̪en̪i,কয়,kɔe̯,না,nɐ,কয়নাই,kɔʲnɐ͡ɪ̯,ক,k,হতা,hɔt̪ɐ,Did not say,,
বশে,bɔɕe,ঠেলায়,tʰelɐe̯,বশে,boʃe,বশে,boʃe,লাই,lɐ͡ɪ̯,ছাদর,cʰɐd̪oɾ,In the meantime,,
বসায়ে,bɔs̪ae̯e,বহাইয়া,bɔhɐ͡ɪ̯ʲɐ,বওয়াইয়া,boʷɐ͡ɪ̯ʲɐ,বহায়া,bɔhɐʲɐ,বইয়াই,bo͡ɪ̯ʲɐ͡ɪ̯,বাসাত,bɐʃɐt̪,In the way,,
বসে?,bɔs̪e?,বইয়া,bo͡ɪ̯ʲɐ,বইয়া,bo͡ɪ̯ʲɐ,বয়া?,bɔʲɐ?,বই?,bo͡ɪ̯?,বইয়েরে,bo͡ɪ̯ʲeɾe,Sit down,,
বহুদিন,bɔhud̪in̪ɔ,ম্যালাদিন,mɛlɐd̪ɪn,বাক্কাদিন,bɐkkɐd̪ɪn,মেলাদিন,pɔɾe,মেলা,mɛlɐ,বউদ্দিন,bɔ͡u̯d̪d̪ɪn,Many days,,
বাঁধার,bɔ̃d̪̤arɔ,বাঁধার,ʃɐmne,বাঁধার,bɐ̃d̪ʱɐɾ,বাঁধার,bɐ̃d̪ʱɐɾ,কিছুর,kɪcʰuɾ,বউত,bɐ̃d̪ɐɾ,Binding,,
বাংলা,baŋl̪a,বাংলা,bɐŋlɐ,বাংলা,bɐŋlɐ,বাংলা,bɐŋlɐ,বাংলা,bɐŋlɐ,বাংলা,bɐŋlɐ,Bengali,,
বাংলাদেশ,baŋl̪ad̪eɕɔ,বাংলাদেশ,bɐŋlɐd̪eʃ,বাংলাদেশ,bɐŋlɐd̪eʃ,বাংলাদেশ,bɐŋlɐd̪eʃ,আই,ɐ͡ɪ̯,বাংলাদেশ,bɐŋlɐd̪eʃ,Bangladesh,,
বাংলাদেশকে,baŋl̪ad̪eɕke,বাংলাদেশরে,bɐŋlɐd̪eʃɾe,বাংলাদেশরে,bɐŋlɐd̪eʃɾe,বাংলাদেশরে,bɐŋlɐd̪eʃɾe,এ,e,অত,ɔt̪o,Bangladesh,,
বাংলাদেশি,baŋl̪ad̪eɕi,বাংলাদেশি,bɐŋlɐd̪eʃɪ,বাংলাদেশি,bɐŋlɐd̪eʃɪ,বাংলাদেশি,bɐŋlɐd̪eʃɪ,অনুভব,onubʱɔb,বাংলাদেশি,bɐŋlɐd̪eʃɪ,Bangladeshi,,
বাংলাদেশী,baŋl̪ad̪eɕi,বাংলাদেশি,bɐŋlɐd̪eʃɪ,বাংলাদেশী,bɐŋlɐd̪eʃɪ,বাংলাদেশী,bɐŋlɐd̪eʃɪ,বাংলাদেশী,bɐŋlɐd̪eʃɪ,বাংলাদেশী,bɐŋlɐd̪eʃɪ,Bangladeshi,,
বাংলাদেশে,baŋl̪ad̪eɕe,বাংলাদেশে,bɐŋlɐd̪eʃe,বাংলাদেশে,bɐŋlɐd̪eʃe,বাংলাদেশে,bɐŋlɐd̪eʃe,বাংলাদেশে,bɐŋlɐd̪eʃe,বাংলাদেশত,bɐŋlɐd̪eʃt̪ɔ,In Bangladesh,,
বাংলাদেশের,baŋl̪ad̪eɕerɔ,বাংলাদেশের,bɐŋlɐd̪eʃeɾ,বাংলাদেশর,bɐŋlɐd̪eʃɔɾ,বাংলাদেশের,bɐŋlɐd̪eʃeɾ,বাংলাদেশ,bɐŋlɐd̪eʃ,বাংলাদেশঅর,bɐŋlɐd̪eʃɔɾ,Bangladesh,,
বাংলায়,baŋl̪ae̯ɔ,বাংলায়,bɐŋlɐe̯,বাংলায়,bɐŋlɐe̯,বাংলায়,bɐŋlɐe̯,বাংলায়,bɐŋlɐe̯,বাংলাত,bɐŋlɐt̪,In Bengal,,
বাঙালির,baŋal̪irɔ,বাঙ্গালির,bɐŋgɐlɪɾ,বাঙালির,bɐŋɐlɪɾ,বাঙালির,bɐŋɐlɪɾ,বাঙালির,bɐŋɐlɪɾ,বাঙালি,bɐŋɐlɪ,Bengali,,
বাচ্চাটি,bat͡ɕt͡ɕati,গেদুডা,ged̪udɐ,বাচ্চাটা,bɐccɐtɐ,বাচ্চাডা,bɐccɐdɐ,বাইচ্ছা,bɐ͡ɪ̯ccʰɐ,বাইচ্চা,bɐ͡ɪ̯ccɐ,The baby,,
বাজারেই,bad͡ʑarei,বাজারেই,bɐɟɐɾe͡ɪ̯,বাজারো,bɐɟɐɾo,বাজারেই,bɐɟɐɾe͡ɪ̯,বাজারেই,bɐɟɐɾe͡ɪ̯,বাজারত,bɐzɐɾɔt̪o,In the market,,
বাজে?,bad͡ʑe?,বাজে?,bɐɟe?,কয়তা?,kɔʲt̪ɐ?,বাজে?,bɐɟe?,বাজে,bɐɟe,বাযের,bɐzeɾ,Pag?,,
বাড়তে,baɽt̪e,বাড়তেই,bɐɽt̪e͡ɪ̯,বাড়তেউ,bɐɽt̪e͡u̯,বাড়তে,bɐɽt̪e,অশান্তি,ɔʃɐnt̪ɪ,বাড়াত,bɐɽɐt̪,To grow,,
বাথরুমে,bat̪ʰrume,বাথরুমে,bɐt̪ʰɾume,বাথরুমে,bɐt̪ʰɾume,লেট্রিনে,letɾɪne,লেপটিনে,leptɪne,বাতরুম,bɐt̪ɾum,In the bathroom,,
বানাতে,ban̪at̪e,বানাইতে,bɐnɐ͡ɪ̯t̪e,বানাইতো,bɐnɐ͡ɪ̯t̪o,বানাইতে,bɐnɐ͡ɪ̯t̪e,চায়,cɐe̯,বানাইতো,bɐnɐ͡ɪ̯t̪o,To make,,
বাপরে,bapre,বাপরে,bɐpɾe,বাফরে,bɐpʰɔɾe,বাপরে,bɐpɾe,বাপরে,bɐpɾe,বাপ্রে,bɐpɾe,Bipolar,,
বারি,bari,বাড়ি,ɟɐ͡ɪ̯ʲɐ,বারি,bɐɾɪ,বারি,bɐɾɪ,বাড়ি,bɐɽɪ,বারি,bɐɾɪ,Gourmet,,
বার্ধক্য,bard̪̤ɔkd͡zɔ,বয়স,bɔʲoʃ,বার্ধক্য,bɐɾd̪ʱokko,বার্ধক্য,bɐɾd̪ʱokko,বার্ধক্য,bɐɾd̪ʱokko,বার্ধক্য,bɐɾd̪ʱokko,Old age,,
বার্সেলোনা,bars̪el̪on̪a,বার্সেলোনা,bɐɾselonɐ,বার্সেলোনা,bɐɾselonɐ,বার্সেলোনা,bɐɾselonɐ,বার্সেলোনা,bɐɾselonɐ,বার্সেলোনা,bɐɾselonɐ,Barcelona,,
বাসতে,bas̪t̪e,যে,ɟe,ভালা,bʱɐlɐ,বাসতে,bɐʃt̪e,বাইসতে,bɐ͡ɪ̯ʃt̪e,হত্তে,hɔt̪t̪e,At home,,
বাসাতে,bas̪at̪e,বাড়ী,bɐɽɪ,বাসাত,bɐʃɐt̪,বাসাতে,bɐʃɐt̪e,বাসাত,bɐʃɐt̪,বাসাত,bɐʃɐt̪,At home,,
বাসায়,bas̪ae̯ɔ,বাড়ি,bɐɽɪ,বাসায়,bɐʃɐe̯,বাসায়,bɐʃɐe̯,বাসাত,bɐʃɐt̪,বাসাত,bɐʃɐt̪,At home,,
বাসায়,bas̪ae̯,বাড়ি,bɐɽɪ,বাড়িত,bɐɽɪt̪o,বাসাত,bɐʃɐt̪,বাসাত,bɐʃɐt̪,বাসাত,bɐʃɐt̪,At home,,
বাসায়,bas̪ae̯ɔ,বাড়ি,bɐɽɪ,বাসাত,bɐʃɐt̪,বাসায়,bɐʃɐe̯,বাইত,bɐ͡ɪ̯t̪o,বাসাত,bɐʃɐt̪,At home,,
বাসায়ই,bas̪ae̯i,বাড়িই,bɐɽɪ͡ɪ̯,বাড়িত,bɐɽɪt̪o,বাড়িতই,bɐɽɪt̪o͡ɪ̯,বাসাত,bɐʃɐt̪,বাসাত,bɐʃɐt̪,At home,,
বাসায়ও,bas̪ae̯o,বাড়িও,bɐɽɪ͡o̯,বাসাত,bɐʃɐt̪,বাসায়ও,bɐʃɐʲo,বাসাতও,bɐʃɐt̪o,বাসাতও,bɐʃɐt̪o,At home,,
বাসে,bas̪e,বাসে,bɐʃe,বাসও,bɐʃo,বাসে,bɐʃe,বাসে,bɐʃe,বাসাত,bɐʃɐt̪,By bus,,
বাস্তবে,bas̪t̪ɔbe,বাস্তবে,bɐst̪obe,বাস্তবে,bɐst̪obe,বেশি,beʃɪ,আন্নে,ɐnne,বাস্তবে,bɐst̪obe,In reality,,
বাড়ীতে,baɽit̪e,বাড়ি,bɐɽɪ,বাড়ীতে,bɐɽɪt̪e,বাড়ীত,bɐɽɪt̪o,বাড়ীত,bɐɽɪt̪o,বাড়িত,ɐssɪlo,At home,,
বিকালে,bikal̪e,বিকালে,bɪkɐle,বিকালে,bɪkɐle,বিকালে,bɪkɐle,বিয়ালে,bɪʲɐle,আর,ɐɾ,In the afternoon,,
বিছানায়,bit͡ɕʰan̪ae̯ɔ,বিছনায়,bɪcʰɔnɐe̯,বিছনাত,bɪcʰonɐt̪,বিছানাত,bɪcʰɐnɐt̪,লাফাই,lɐpʰɐ͡ɪ̯,বিচানাতা,bɪcɐnɐt̪ɐ,In bed,,
বিছানায়,bit͡ɕʰan̪ae̯ɔ,হিতানে,hɪt̪ɐne,বিছনাত,bɪcʰonɐt̪,বিসনাত,bɪʃonɐt̪,বিছনাত,bɪcʰonɐt̪,বিচানাত,bɪcɐnɐt̪,In bed,,
বিবাহবিচ্ছেদ,bibahɔbit͡ɕt͡ɕʰed̪ɔ,বিয়া,bɪʲɐ,তালাকর,t̪ɐlɐkɔɾ,বিবাহবিচ্ছেদ,bɪbɐhobɪccʰed̪,তালাকের,t̪ɐlɐkeɾ,তালাকর,t̪ɐlɐkɔɾ,Divorce,,
বিভিন্নভাবে,bib̤in̪n̪ɔb̤abe,বিভিন্নতারায়,bɪbʱɪnnot̪ɐɾɐe̯,বহুতভাবে,bohut̪bʱɐbe,বিভিন্নভাবে,bɪbʱɪnnobʱɐbe,বিভিন্নভাবে,bɪbʱɪnnobʱɐbe,ফোয়া,foʷɐ,Differently,,
বিয়ের,bie̯erɔ,বিয়ার,bɪʲɐɾ,বিয়ার,bɪʲɐɾ,বিয়ার,bɪʲɐɾ,বিয়ার,bɪʲɐɾ,বিয়ার,bɪʲɐɾ,Wedding,,
বিরুদ্ধে,birud̪d̪̤e,বিরুদ্ধে,bɪɾud̪d̪ʱe,বিরুদ্ধে,bɪɾud̪d̪ʱe,বিরুদ্ধে,bɪɾud̪d̪ʱe,বিরুদ্ধে,bɪɾud̪d̪ʱe,বিরুদ্ধে,bɪɾud̪d̪ʱe,Against,,
বিশ্বকাপ,biɕbɔkapɔ,বিশ্বকাপ,bɪʃʃokɐp,বিশ্বকাপ,bɪʃʃokɐp,বিশ্বকাপ,bɪʃʃokɐp,বিশ্বকাপ,bɪʃʃokɐp,বিশ্বকাপ,bɪʃʃokɐp,World Cup,,
বিষয়টা,biʂe̯ɔta,ব্যাপারডা,bɛpɐɾdɐ,বিষয়টা,bɪʃɔʲtɐ,বিষয়ডা,bɪʃɔʲdɐ,বিষয়,bɪʃɔe̯,বিষয়ান,bɪʃɔʲɐn,The point,,
বিষয়টা,biʂe̯ɔta,ব্যাপারডা,bɛpɐɾdɐ,জিনিসটা,ɟɪnɪʃtɐ,বিষয়ডা,bɪʃɔʲdɐ,জিনিষটা,ɟɪnɪʃtɐ,হদে,hod̪e,The point,,
বিড়ালেরা,biɽal̪era,বিলইরা,bɪlo͡ɪ̯ɾɐ,বিলাই,bɪlɐ͡ɪ̯,বিড়ালেরা,bɪɽɐleɾɐ,বিলাই,bɪlɐ͡ɪ̯,লাতিয়া,lɐt̪ɪʲɐ,Cats,,
বিয়ের,bie̯erɔ,বিয়ার,bɪʲɐɾ,বিয়ার,bɪʲɐɾ,বিয়ার,bɪʲɐɾ,বিয়ার,bɪʲɐɾ,বিয়ার,bɪʲɐɾ,Wedding,,
বুকশেলফে,bukɕel̪ɔɸe,বুকশেলফে,bukʃelpʰe,ওগু,ogu,বুকশেলফে,bukʃelpʰe,বুকশেলফে,bukʃelpʰe,ইবা,ɪbɐ,Bookshop,,
বুঝতেছিনা,bud͡ʑ̤t̪et͡ɕʰin̪a,বোঝতেপারতেয়াছিনা,boɟʱot̪epɐɾt̪eʲɐcʰɪnɐ,বুঝিয়ার,buɟʱɪʲɐɾ,বুঝতাসিনা,buɟʱt̪ɐʃɪnɐ,বুইঝতাম,bu͡ɪ̯zʱɔt̪ɐm,নো,no,Did not understand,,
বুঝিনি,bud͡ʑ̤in̪i,কহনো,kɔhono,তাইরে,t̪ɐ͡ɪ̯ɾe,বুঝিনাই,buɟʱɪnɐ͡ɪ̯,বুঝিনো,buɟʱɪno,তারে,t̪ɐɾe,Did not understand,,
বেঁধে,beঁd̪̤e,বাইন্ধা,bɐ͡ɪ̯nd̪ʱɐ,লাইন,lɐ͡ɪ̯n,লাইন,lɐ͡ɪ̯n,ধরি,d̪ʱoɾɪ,লাইন,lɐ͡ɪ̯n,In a hurry,,
