bangla_speech,combined,ipa_output
নিজেকে যোগ্য করে গড়ে তুলতে পারেন,Mymensingh নিজেরে যোগ্য কইরা গইড়া তুলতে পারেন,mɪmenʃɪnh nɪɟeɾe ɟoggo ko͡ɪ̯ɾɐ gɪɽɐ t̪ult̪e pɐɾen
নিজেই নিজের জীবন পরিচালনা করতে পারেন,Mymensingh নিজেই নিজের জীবন পরিচালনা করতে পারেন,menʃɪn nɪɟe͡ɪ̯ nɪɟeɾ ɟɪbɔn poɾɪcɐlonɐ koɾt̪e pɐɾen
আপনার জন্য শুভকামনা রইল,Mymensingh আপনার লাইজ্ঞা শুভকামনা রইল,menʃɔn ɐpnɐɾ lɐ͡ɪ̯ggɐ ʃuvkɐmonɐ ɾo͡ɪ̯l
আপনি নিজে কিছু করার চেষ্টা করেন যেন পরিবারের সাহায্য হয়,Mymensingh আফনে নিজে কিসু করনের চেষ্টা করেন যেন পরিবারের সাহায্য হয়,mɔnoʃɪn ɐcʰone nɪɟe kɪʃu kɔɾoneɾ ceʃtɐ kɔɾen ɟeno poɾɪbɐɾeɾ ʃɐhɐɟɟo hɔe̯
সবাই একসাথে খারাপ হয় না,Mymensingh সবাই একলগে খারাপ হয় না,menʃɪn ʃɔbɐ͡ɪ̯ ɛklgk kʰɐɾɐp hɔe̯ nɐ
"ওরা আপনাকে কিভাবে চায়, ওদের মতো হবার চেষ্টা করুন","Mymensingh ওরা আফনেরে কেমনে চায়, ওরার মতো হওনের চেষ্টা করেন","mɪmɪnʃ oɾɐ ɐpʰoneɾe kɛmone cɐe̯, oɾɐɾ mɔt̪o honeɾ ceʃtɐ kɔɾen"
আশা করছি সব কিছু সমাধান হবে,Mymensingh আশা করতাসি সব কিসুর সমাধান হইব,menʃɪn ɐʃɐ koɾt̪ɐʃɪ ʃɔb kɪʃuɾ ʃɔmɐd̪ʱɐn ho͡ɪ̯bo
আমার বিয়ে হয়েছে ৯ বছর,Mymensingh আমার বিয়া হইসে ৯ বছর,mɔʲenoʃ ɐmɐɾ bɪʲɐ ho͡ɪ̯ʃe ɟo bɔcʰoɾ
প্রেম করে বিয়ে কিন্তু পারিবারিক ভাবেই হয়েছে,Mymensingh প্রেম কইরা বিয়া কিন্তু পারিবারিক ভাবেই হইসে,menʃɪn pɾem ko͡ɪ̯ɾɐ bɪʲɐ kɪnt̪u pɐɾɪbɐɾɪk bʱɐbe͡ɪ̯ ho͡ɪ̯ʃe
প্রথম থেকেই আমার শাশুড়ি আমাকে অনেক ভালবাসে,Mymensingh প্রথম থাইক্কাই আমার শাশুড়ি আমারে অনেক ভালবাসে,menʃɔng pɾot̪ʰom t̪ʰɐ͡ɪ̯kkɐ͡ɪ̯ ɐmɐɾ ʃɐʃuɽɪ ɐmɐɾe ɔnek bʱɐlbɐʃe
ওনারা আমার স্বামীকে অশিক্ষিত মেয়ের সাথে বিয়ে দিতে চেয়েছিল,Mymensingh ওনারা আমার জামাইরে অশিক্ষিত মাইয়ার লগে বিয়া দিতে চাইসিল,menʃɪn onɐɾɐ ɐmɐɾ ɟɐmɐ͡ɪ̯ɾe oʃɪkkʰɪt̪o mɐ͡ɪ̯ʲɐɾ lɔge bɪʲɐ d̪ɪt̪e cɐ͡ɪ̯sɪl
তাদের ঘরের কাজের মানুষ হিসেবে রাখতে চেয়েছিল,Mymensingh তারার ঘরের কামের মানুষ হিসাবে রাখতে চাইসিল,menʃɪn t̪ɐɾɐɾ gʱɔɾeɾ kɐmeɾ mɐnuʃ hɪʃɐbe ɾɐkʰt̪e cɐ͡ɪ̯sɪl
আমার স্বামী নিজ পছন্দে আমাকে বিয়ে করেছে,Mymensingh আমার জামাই নিজ পসন্দে আমারে বিয়া করসে,mɔʃɪnho ɐmɐɾ ɟɐmɐ͡ɪ̯ nɪɟ pɔʃond̪e ɐmɐɾe bɪʲɐ koɾʃe
গত ৯ বছরে একটানা ৯ দিনের জন্যও তারা আমার সাথে কথা বলেনি,Mymensingh গত ৯ বছরে একটানা ৯ দিনের লাইজ্ঞাও হেরা আমার লগে কথা কয়নাই,mɔʲenʃɔn gɔt̪o ɟo bɔcʰoɾe ɛktɐnɐ ɟo d̪ɪneɾ lɐ͡ɪ̯ggɐ͡o̯ heɾɐ ɐmɐɾ lɔge kɔt̪ʰɐ kɔʲnɐ͡ɪ̯
কোনো আত্মীয় আমার বাসায় এলে তাদের সাথেও সম্পর্ক নষ্ট করতো,Mymensingh কোনো আত্মীয় আমার বাসায় আইলে তারার লগেও সম্পর্ক নষ্ট করতো,mɔʃɪng kono ɐt̪t̪ɪʲo ɐmɐɾ bɐʃɐe̯ ɐ͡ɪ̯le t̪ɐɾɐɾ lɔge͡o̯ ʃɔmpoɾko nɔʃto koɾt̪o
আমরা পারিবারিক কারনে ১ বছরের জন্য এখন নিজ বাড়ি থেকে অন্য জায়গায় ছিলাম,Mymensingh আমরা পারিবারিক কারনে ১ বছরের লাইজ্ঞা এহন নিজ বাড়ি থাইক্কা অন্য জায়গায় আসিলাম,mɔʲenʃɔn ɐmɾɐ pɐɾɪbɐɾɪk kɐɾone d̪ʱo bɔcʰoɾeɾ lɐ͡ɪ̯ggɐ ehon nɪɟ bɐɽɪ t̪ʰɐ͡ɪ̯kkɐ ɔnno ɟɐ
নিজ বাড়িতে এসে শুনি পুরো এলাকাতে আমাদের নামে খারাপ কথা বলেছে,Mymensingh নিজ বাড়িত আয়া হুনি পুরা এলাকাত আমরার নামে খারাপ কথা কইসে,mɪnʃɪnh nɪɟ bɐɽɪt̪o ɐʲɐ hunɪ puɾɐ elɐkɐt̪ ɐmɾɐɾ nɐme kʰɐɾɐp kɔt̪ʰɐ ko͡ɪ̯ʃe
আমার বিরুদ্ধে বুঝিয়েছে যে আমি আমার স্বামীর কে তাবিজ করে নিজ বাড়ি থেকে সরিয়ে ফেলেছি,Mymensingh আমার বিরুদ্ধে বুঝাইসে যে আমি আমার জামাইরে তাবিজ কইরা নিজ বাড়ি থাইক্কা সরায়া ফালাইসি,mɪnʃɪn ɐmɐɾ bɪɾud̪d̪ʱe buɟʱɐ͡ɪ̯ʃe ɟe ɐmɪ ɐmɐɾ ɟɐmɐ͡ɪ̯ɾe t̪ɐbɪɟ ko͡ɪ̯ɾɐ nɪɟ bɐɽɪ t
সমস্ত সম্পত্তি বিক্রি করিয়ে স্বামীকে ছেড়ে চলে যাবো,Mymensingh সমস্ত সম্পত্তি বিক্রি করায়া জামাইরে ছাইড়া চইল্লা যায়াম,menʃɪnho ʃɔmost̪o ʃɔmpot̪t̪ɪ bɪkɾɪ kɔɾɐʲɐ ɟɐmɐ͡ɪ̯ɾe cʰɐ͡ɪ̯ɽɐ co͡ɪ̯llɐ ɟɐʲɐm
তোমার বৌ নাকি তোমাকে সম্পত্তি বিক্রি করিয়ে ফেলতেছে,Mymensingh তোমার বউ নাকি তোমারে সম্পত্তি বিক্রি করায়া ফালাইতাসে,menʃɪnho t̪omɐɾ bɔ͡u̯ nɐkɪ t̪omɐɾe ʃɔmpot̪t̪ɪ bɪkɾɪ kɔɾɐʲɐ pʰɐlɐ͡ɪ̯t̪ɐʃe
আমার স্বামী সবাইকে বুঝিয়ে বুঝিয়ে ক্লান্ত যে আমি এরকম কিছু করছি না,Mymensingh আমার জামাই সবাইরে বুঝায়া বঝায়া ক্লান্ত যে আমি এরকম কিসু করতাসি না,menʃɔn ɐmɐɾ ɟɐmɐ͡ɪ̯ ʃɔbɐ͡ɪ̯ɾe buɟʱɐʲɐ bɔɟʱɐʲɐ klɐnt̪o ɟe ɐmɪ eɾokom kɪʃu koɾt̪ɐʃɪ nɐ
মান সন্মানের ভয়ে কেউ কিছু বলে না,Mymensingh মান সন্মানের ভয়ে কেউ কিসু কয় না,menʃɪn mɐn ʃɔnmɐneɾ bʱɔʲe ke͡u̯ kɪʃu kɔe̯ nɐ
ছেলেটি বাবা চাচার ভয়ে বাড়িতে কিছু বলতে পারে নাহ,Mymensingh ছেড়াডার বাপ চাচার ভয়ে বাড়িত কিসু কইতে পারে নাহ,menʃɪn cʰeɽɐdɐɾ bɐp cɐcɐɾ bʱɔʲe bɐɽɪt̪o kɪʃu ko͡ɪ̯t̪e pɐɾe nɐh
আমার কাছে আরও সময় চাইতো,Mymensingh আমার কাসে আরও সময় চাইতো,mɔnoʃɔg ɐmɐɾ kɐʃe ɐɾɔ͡o̯ ʃɔmɔe̯ cɐ͡ɪ̯t̪o
বয়স আমার তখন ১৬ তে পড়লো,Mymensingh বয়স আমার তহন ১৬ তে পড়লো,mɔʲenʃɔn bɔʲoʃ ɐmɐɾ t̪ɔhon d̪ʱɔe̯ t̪e poɽlo
তখনকার সময় মেয়েদের জন্যে এটি অনেক বয়স,Mymensingh তহনকার সময় মাইয়ারার লাইজ্ঞা এইডা অনেক বয়স,menʃɪn t̪ɔhonkɐɾ ʃɔmɔe̯ mɐ͡ɪ̯ʲɐɾɐɾ lɐ͡ɪ̯ggɐ e͡ɪ̯dɐ ɔnek bɔʲoʃ
বাড়ি থেকে ছেলে দেখা শুরু করলো,Mymensingh বাড়ি থাইক্কা ছেড়া দেহা শুরু করল, mɔʲenosh bɐɽɪ t̪ʰɐ͡ɪ̯kkɐ cʰeɽɐ d̪ehɐ ʃuɾu koɾl
তোর বড় ভাইয়ের সাথে বিয়ে ঠিক হইল,Mymensingh তর বড় ভাইয়ের সাথে বিয়া ঠিক হইল,menʃɪng t̪ɔɾ bɔɽo bʱɐ͡ɪ̯ʲeɾ ʃɐt̪ʰe bɪʲɐ tʰɪk ho͡ɪ̯l
আমি এখন তোর ভাইকে বিয়ে করতে চাই না,Mymensingh আমি এহন তর ভাইরে বিয়া করতাম চাই না,menʃɪn ɐmɪ ehon t̪ɔɾ bʱɐ͡ɪ̯ɾe bɪʲɐ koɾt̪ɐm cɐ͡ɪ̯ nɐ
আমি আরও এক বছর পরে বিয়ে করতে চাই,Mymensingh আমি আরও এক বছর পরে বিয়া করতাম চাই,menʃɪn ɐmɪ ɐɾɔ͡o̯ ɛk bɔcʰoɾ pɔɾe bɪʲɐ koɾt̪ɐm cɐ͡ɪ̯
ছেলেটি আমার বাবার সাথে কথা বলে আমাদের বিয়ে ঠিক করেছে,Mymensingh ছেড়াডা আমার আব্বার লগে কথা কয়া আমরার বিয়া ঠিক করসে,mɔʲensɪng cʰeɽɐdɐ ɐmɐɾ ɐbbɐɾ lɔge kɔt̪ʰɐ kɔʲɐ ɐmɾɐɾ bɪʲɐ tʰɪk koɾʃe
এরই মাঝে একটি অঘটন ঘটে গেলো,Mymensingh এরই মধ্যে একটা অঘটন ঘইটটা গেল,menoʃɪn eɾɪ mod̪d̪ʱe ɛktɐ ɔgʱɔton gʱɔ͡ɪ̯ttɐ gɛlo
সে তাঁর বাবার ভয়ে কোন কথাই বলতে পারলো না,Mymensingh হেয় হের বাপের ভয়ে কোন কথাই কইতে পারলো না,mɔʃensɪng hee̯ heɾ bɐpeɾ bʱɔʲe kon kɔt̪ʰɐ͡ɪ̯ ko͡ɪ̯t̪e pɐɾlo nɐ
আমি এখনই বিয়ে করে ফেলতে চাই,Mymensingh আমি এহনই বিয়া কইরা ফালাইতাম চাই,menʃɪn ɐmɪ ehonɪ bɪʲɐ ko͡ɪ̯ɾɐ pʰɐlɐ͡ɪ̯t̪ɐm cɐ͡ɪ̯
আমার সব শেষ হয়ে যাবে,Mymensingh আমার সব শেষ হয়া যাইব,mɔnoʃɪng ɐmɐɾ ʃɔb ʃeʃ hɔʲɐ ɟɐ͡ɪ̯bo
দয়া করে তুমি তোমার পরিবারের পছন্দে বিয়ে করে ফেলো,Mymensingh দয়া কইরা তুমি তোমার পরিবারের পসন্দে বিয়া কইরা ফেলো,menʃɪn d̪ɔʲɐ ko͡ɪ̯ɾɐ t̪umɪ t̪omɐɾ poɾɪbɐɾeɾ pɔʃond̪e bɪʲɐ ko͡ɪ̯ɾɐ pʰelo
এই সাহস আমার নাই,Mymensingh এই সাহস আমার নাই,mɔʲensɪn e͡ɪ̯ ʃɐhoʃ ɐmɐɾ nɐ͡ɪ̯
আমাকে ভালোবাসলে এইটুকু উপকার করো পায়ে পড়ি তোমার ,Mymensingh আমারে ভালবাসলে এইটুকু উপকার কর পায়ে পড়ি তোমার ,mɔʲɪns ɐmɐɾe bʱɐlbɐʃole e͡ɪ̯tuku upokɐɾ kɔɾ pɐʲe poɽɪ t̪omɐɾ 
সব কিছু শুনে বুঝলাম যে এখন আর এখানে থেকে কোন লাভ হবে না,Mymensingh বেগ কিসু হুইন্না বুঝলাম যে এহন আর এইহানে থাইক্কা কোন লাভ হইত না,mɪmɪng beg kɪʃu hu͡ɪ̯nnɐ buɟʱlɐm ɟe ehon ɐɾ e͡ɪ̯hɐne t̪ʰɐ͡ɪ̯kkɐ kon lɐbʱ ho͡ɪ̯t̪o nɐ
তোর বড় ভাইকেই বিয়ে করতে হবে এখন,Mymensingh তর বড় ভাইরেই বিয়া করতে হইব এহন,mɔʲenʃɪg t̪ɔɾ bɔɽo bʱɐ͡ɪ̯ɾe͡ɪ̯ bɪʲɐ koɾt̪e ho͡ɪ̯bo ehon
বাড়ীতে বললাম আমি এই বিয়েতে রাজি,Mymensingh বাড়ীত কইলাম আমি এই বিয়াতে রাজি,mɔʲenoʃ bɐɽɪt̪o ko͡ɪ̯lɐm ɐmɪ e͡ɪ̯ bɪʲɐt̪e ɾɐɟɪ
যত তাড়াতাড়ি সম্ভব বিয়ের ব্যবস্থা করো,Mymensingh যত তাড়াতাড়ি সম্ভব বিয়ার ব্যবস্থা কর,mɔnoʃɪng ɟɔt̪o t̪ɐɽɐt̪ɐɽɪ ʃɔmbʱɔb bɪʲɐɾ bɛbost̪ʰɐ kɔɾ
১৫ দিনের মধ্যেই আমাদের বিয়ে হইলো,Mymensingh ১৫ দিনের মধ্যেই আমরার বিয়া হইল,mɔʲenosh d̪ʱɔpʰ d̪ɪneɾ mod̪d̪ʱe͡ɪ̯ ɐmɾɐɾ bɪʲɐ ho͡ɪ̯l
এই কাহিনী পুরোটা শুনে আমি অবাক,Mymensingh এই কাহিনী পুরাডা হুইন্না আমি অবাক,mɔʲenʃɔn e͡ɪ̯ kɐhɪnɪ puɾɐdɐ hu͡ɪ̯nnɐ ɐmɪ ɔbɐk
আমি একটা খুব বড় সমস্যায় পড়েছি দয়া করে কেউ হাসাহাসি করবেন না,Mymensingh আমি একটা খুব বড় সমস্যায় পড়সি দয়া কইরা কেউ হাসাহাসি করবেন না,mɪmɪn ɐmɪ ɛktɐ kʰub bɔɽo ʃɔmoʃʃɐe̯ pɔɽʃɪ d̪ɔʲɐ ko͡ɪ̯ɾɐ ke͡u̯ hɐʃɐhɐʃɪ koɾben nɐ
আমার গার্লফ্রেন্ড এর পরিবারের ডিফেন্স এর জব নাকি পছন্দ না,Mymensingh আমার গার্লফ্রেন্ড এর পরিবারের ডিফেন্স এর জব নাকি পসন্দ না,mɔʃɪng ɐmɐɾ gɐɾlɔpʰɾend eɾ poɾɪbɐɾeɾ dɪpʰens eɾ ɟɔbo nɐkɪ pɔʃond̪o nɐ
তবে আমার গার্লফ্রেন্ড আমাকে বলেছে আমি তাকে যেভাবে রাখবো সে সেভাবেই থাকবে,Mymensingh তবে আমার গার্লফ্রেন্ড আমারে কইসে আমি তারে যেমনে রাখবাম হেয় অম্নেই থাকব,mɔnoʃɪn t̪ɔbe ɐmɐɾ gɐɾlɔpʰɾend ɐmɐɾe ko͡ɪ̯ʃe ɐmɪ t̪ɐɾe ɟemone ɾɐkʰbɐm hee̯ ɔmne͡ɪ̯ t̪ʰɐkb
তাই আমি তাকে লুকিয়ে বিয়ে করতে চাই,Mymensingh তাই আমি তারে লুকায়া বিয়া করতাম চাই,menʃɪn t̪ɐ͡ɪ̯ ɐmɪ t̪ɐɾe lukɐʲɐ bɪʲɐ koɾt̪ɐm cɐ͡ɪ̯
আমার গার্লফ্রেন্ড এর বয়স ১৯ বছর,Mymensingh আমার গার্লফ্রেন্ড এর বয়স ১৯ বছর,menʃɔng ɐmɐɾ gɐɾlɔpʰɾend eɾ bɔʲoʃ d̪ʱɔe̯ bɔcʰoɾ
আমি চাচ্ছি ট্রেনিং থেকে ফিরেই তাকে বিয়ে করতে,Mymensingh আমি চাইতাসি ট্রেনিং থাইক্কা ফিরাই তারে বিয়া করতে, mɔʲenog ɐmɪ cɐ͡ɪ̯t̪ɐʃɪ tɾenɪŋ t̪ʰɐ͡ɪ̯kkɐ pʰɪɾɐ͡ɪ̯ t̪ɐɾe bɪʲɐ koɾt̪e
যদি লুকিয়ে বিয়ে করি পরবর্তীতে কি তার ফ্যামিলি কোনো সমস্যা করতে পারবে?,Mymensingh যদি লুকায়া বিয়া করি পরে কি হের ফ্যামিলি কোন সমস্যা করতে পারব?,mɔnoʃɪn ɟod̪ɪ lukɐʲɐ bɪʲɐ koɾɪ pɔɾe kɪ heɾ pʰɛmɪlɪ kon ʃɔmoʃʃɐ koɾt̪e pɐɾbo?
আমাদের ফ্যামিলি থেকে ওদের ফ্যামিলি অনেক বড়লোক,Mymensingh আমাদের ফ্যামিলি থাইক্কা ওরার ফ্যামিলি অনেক বড়লোক,mɛnoʃɔn ɐmɐd̪eɾ pʰɛmɪlɪ t̪ʰɐ͡ɪ̯kkɐ oɾɐɾ pʰɛmɪlɪ ɔnek boɽolok
আমি গ্রামের ছেলে ঢাকাতে একটা প্রাইভেট বিশ্ববিদ্যালয়ে পড়াশোনা করি,Mymensingh আমি গ্রামের পোলা ঢাকাত একটা প্রাইভেট বিশ্ববিদ্যালয়ে পড়াশুনা করি,menoʃunɐ ɐmɪ gɾɐmeɾ polɐ dʱɐkɐt̪ ɛktɐ pɾɐ͡ɪ̯bʱet bɪʃʃobɪd̪d̪ɐlɔʲe pɔɽɐʃunɐ koɾɪ
তার সাথে পরিচয় তাকে প্রাইভেট পড়াতে গিয়ে,Mymensingh হের লগে পরিচয় তারে প্রাইভেট পড়াইতে গিয়া,mɔʃɪng heɾ lɔge poɾɪcɔe̯ t̪ɐɾe pɾɐ͡ɪ̯bʱet pɔɽɐ͡ɪ̯t̪e gɪʲɐ
দয়া করে পরামর্শ দিন বিয়ের পরে কি তার পরিবার কোনো সমস্যা করতে পারবে?,Mymensingh দয়া কইরা পরামর্শ দেন বিয়ার পরে কি তার পরিবার কোনো সমস্যা করতে পারব?,mɔʲɐ ko͡ɪ̯ɾɐ pɔɾɐmɔɾʃo d̪ɛn bɪʲɐɾ pɔɾe kɪ t̪ɐɾ poɾɪbɐɾ kono ʃɔmoʃʃɐ koɾt̪e pɐɾbo?
আমি আর আমার বয়ফ্রেন্ড একি স্কুলে পড়তাম,Mymensingh আমি আর আমার বয়ফ্রেন্ড একি ইস্কুলে পড়তাম,mɔʲenosho ɐmɪ ɐɾ ɐmɐɾ bɔʲopʰɾend ekɪ ɪskule pɔɽt̪ɐm
ক্লাস নাইনে আমাদের প্রথম কথা হয় ফেসবুকে,Mymensingh ক্লাস নাইনে আমরার প্রথম কথা হয় ফেসবুকে, mɔʲenʃɔn klɐs nɐ͡ɪ̯ne ɐmɾɐɾ pɾot̪ʰom kɔt̪ʰɐ hɔe̯ pʰesbuke
এরপর থেকে ক্লাস টেনে রিলেশনে যাই,Mymensingh এরপর থাইক্কা ক্লাস টেনে রিলেশনে যাই, menʃɪn eɾpɔɾ t̪ʰɐ͡ɪ̯kkɐ klɐs tene ɾɪleʃne ɟɐ͡ɪ̯
আমার বন্ধুত্ব ছাড়া অন্য কিছুর ইচ্ছা ছিল না,Mymensingh আমার বন্ধুত্ব ছাড়া অন্য কিসুর ইচ্ছা আসিল না,mɪnʃɔn ɐmɐɾ bond̪ʱut̪t̪o cʰɐɽɐ ɔnno kɪʃuɾ ɪccʰɐ ɐʃɪl nɐ
কিন্তু ছেলেটা অনেক ভালো মানুষ কোনো নেশা নাই,Mymensingh কিন্তু ছেলেটা অনেক ভালা মানুষ কোনো নেশা নাই,menʃɪnho kɪnt̪u cʰeletɐ ɔnek bʱɐlɐ mɐnuʃ kono neʃɐ nɐ͡ɪ̯
আমি সবকিছু বুঝে প্রেম করতে গেলাম,Mymensingh আমি সবকিছু বুঝে প্রেম করতে গেলাম,menʃɪn ɐmɪ ʃɔbkɪcʰu buɟʱe pɾem koɾt̪e gelɐm
প্রথমদিকে অত ভালোবাসতাম না,Mymensingh প্রথমদিকে অত ভালবাসতাম না,menʃɔn pɾot̪ʰomod̪ɪke ɔt̪o vɐlbɐʃt̪ɐm nɐ
আমাদের ম্যাক্সিমাম কথা হয়েছে অনলাইনে,Mymensingh আমরার ম্যাক্সিমাম কথা হইসে অনলাইনে,mɪnʃɔn ɐmɾɐɾ mɛkʃɪmɐm kɔt̪ʰɐ ho͡ɪ̯ʃe ɔnɔlɐ͡ɪ̯ne
ততদিনে আমি অনেক ভালোবেসে ফেলেছি ওকে,Mymensingh ততদিনে আমি অনেক ভালোবাইসা ফালাইসি ওরে,menʃɪne ɐmɪ ɔnek bʱɐlobɐ͡ɪ̯ʃɐ pʰɐlɐ͡ɪ̯sɪ oɾe
ওর আর আমার স্কুল ফ্রেন্ডরা সব জানত,Mymensingh ওর আর আমার ইস্কুল ফ্রেন্ডরা সব জানত,mɔnoʃɪng oɾ ɐɾ ɐmɐɾ ɪskul pʰɾendɔɾɐ ʃɔb ɟɐnɔt̪o
তারা আমাকে পছন্দ করত চাইত আমাদের সম্পর্ক আবার জোড়া লাগুক,Mymensingh তারা আমারে পসন্দ করত চাইত আমাদের সম্পর্ক আবার জোড়া লাগুক,mɔʲensɪn t̪ɐɾɐ ɐmɐɾe pɔʃond̪o koɾt̪o cɐ͡ɪ̯t̪o ɐmɐd̪eɾ ʃɔmpoɾko ɐbɐɾ ɟoɽɐ lɐguk
এভাবে গেঞ্জাম হয় আবার মিল এরকম করতে করতে ৫ বছর হয়েছে এখন,Mymensingh এমনে গেঞ্জাম হয় আবার মিল এরকম করতে করতে ৫ বছর হইসে এহন,menʃɪg ɛmone genɟɐm hɔe̯ ɐbɐɾ mɪl eɾokom koɾt̪e koɾt̪e pʰo bɔcʰoɾ ho͡ɪ̯ʃe ehon
আমার অসুস্থতার কারণে আমার ১ বছর গ্যাপ গিয়েছে,Mymensingh আমার অসুস্থতার কারণে আমার ১ বছর গ্যাপ গেসে,mɪmɪngho ɐmɐɾ ɔʃust̪ʰot̪ɐɾ kɐɾone ɐmɐɾ d̪ʱo bɔcʰoɾ gɛp gese
আমি এখন সুস্থ অনেক,Mymensingh আমি এহন সুস্থ অনেক,menʃɪnho ɐmɪ ehon ʃust̪ʰo ɔnek
আমি কিভাবে এখন ওকে ভুলে যাই?,Mymensingh আমি কেমনে এহন ওরে ভুলে যাই?,mɔʲenʃɪn ɐmɪ kɛmone ehon oɾe bʱule ɟɐ͡ɪ̯?
আমার বয়স ২৫ হলেও আমি ৫ বছর কন্সিডার করতাম,Mymensingh আমার বয়স ২৫ হইলেও আমি ৫ বছর কন্সিডার করতাম, mɔʲenoʃ ɐmɐɾ bɔʲoʃ nɔpʰ ho͡ɪ̯le͡o̯ ɐmɪ pʰo bɔcʰoɾ kɔnsɪdɐɾ koɾt̪ɐm
আমিও তাকে ছাড়া কিছু ভাবি নাই ৫ বছরে,Mymensingh আমিও তারে ছাড়া কিসু ভাবি নাই ৫ বছরে,menoʃ ɐmɪ͡o̯ t̪ɐɾe cʰɐɽɐ kɪʃu bʱɐbɪ nɐ͡ɪ̯ pʰo bɔcʰoɾe
মজা করে অন্য ছেলের কথা বলে তাকে চেতাইছি অনেক,Mymensingh মজা কইরা অন্য ছেড়ার কথা বইল্লা তারে চেতাইসি অনেক,mɔɟɐ ko͡ɪ̯ɾɐ ɔnno cʰeɽɐɾ kɔt̪ʰɐ bo͡ɪ̯llɐ t̪ɐɾe cet̪ɐ͡ɪ̯sɪ ɔnek
তাকেই ভালোবাসি আমি তাকে ছাড়তে চাই না,Mymensingh তারেই ভালোবাসি আমি তারে ছাড়তে চাই না,mɔnoʃɪn t̪ɐɾe͡ɪ̯ bʱɐlobɐʃɪ ɐmɪ t̪ɐɾe cʰɐɽt̪e cɐ͡ɪ̯ nɐ
আমি বুঝে গেছি ওই ছেলেকে ছাড়া আমি থাকতে পারব না,Mymensingh আমি বুইজ্ঝা গেসি ওই পোলারে ছাড়া আমি থাকতে পারতাম না,mɪ bu͡ɪ̯ɟɟʱɐ gesɪ o͡ɪ̯ polɐɾe cʰɐɽɐ ɐmɪ t̪ʰɐkt̪e pɐɾt̪ɐm nɐ
এখন সে আমাকে বলে তার লাইফ থেকে চলে যেতে,Mymensingh এহন হেয় আমারে কয় তার লাইফ থাইক্কা চইল্লা যাইত, mɔʲensɪn ehon hee̯ ɐmɐɾe kɔe̯ t̪ɐɾ lɐ͡ɪ̯pʰ t̪ʰɐ͡ɪ̯kkɐ co͡ɪ̯llɐ ɟɐ͡ɪ̯t̪o
আমি অনেক চিন্তার মধ্যে পড়ে গেছি আমি কি করব,Mymensingh আমি মেলা চিন্তার মধ্যে পইড়া গেসি আমি কিতা করবাম,menʃɪnho ɐmɪ mɛlɐ cɪnt̪ɐɾ mod̪d̪ʱe po͡ɪ̯ɽɐ gesɪ ɐmɪ kɪt̪ɐ koɾbɐm
এক সময় গিয়ে যদি বলে যে ধরে রাখলেই তো পারতা,Mymensingh এক সময় গিয়া যদি কয় যে ধরে রাখলেই তো পারতা,mɔnoʃɪg ɛk ʃɔmɔe̯ gɪʲɐ ɟod̪ɪ kɔe̯ ɟe d̪ʱoɾe ɾɐkʰle͡ɪ̯ t̪o pɐɾt̪ɐ
আপনারা বলেন এখন আমি আসলে করব কি?,Mymensingh আফনেরা কন এহন আমি আসলে করবাম কি?,mɪmɪng ɐpʰoneɾɐ kon ehon ɐmɪ ɐʃole koɾbɐm kɪ?
বাংলাদেশী মেয়েটি পরিবার সহ নিউজিল্যান্ড থাকে,Mymensingh বাংলাদেশী মাইয়াডা পরিবার সহ নিউজিল্যান্ড থাকে,menʃɪn bɐŋlɐd̪eʃɪ mɐ͡ɪ̯ʲɐdɐ poɾɪbɐɾ ʃɔho nɪ͡u̯ɟɪlɛnd t̪ʰɐke
ওখানেই এক বাংলাদেশী ছেলের সাথে পরিচয় তারপর সম্পর্ক,Mymensingh ওইহানেই এক বাংলাদেশী ছেড়ার লগে পরিচয় তারপর সম্পর্ক,mɔnoʃɪn o͡ɪ̯hɐne͡ɪ̯ ɛk bɐŋlɐd̪eʃɪ cʰeɽɐɾ lɔge poɾɪcɔe̯ t̪ɐɾpɔɾ ʃɔmpoɾko
বিয়েটা ওই দেশে করতে চেয়েছিল মেয়ে কিন্তু ছেলের ইচ্ছা বাংলাদেশে এসে দুজন বিয়ে করবে,Mymensingh বিয়াডা ওই দেশে করতে চাইসিল মাইয়া কিন্তু পোলার ইচ্ছা বাংলাদেশে আইসা দুইজন বিয়া করব,menʃɪnh bɪʲɐdɐ o͡ɪ̯ d̪eʃe koɾt̪e cɐ͡ɪ̯sɪl mɐ͡ɪ̯ʲɐ kɪnt̪u polɐɾ ɪccʰɐ bɐŋlɐd̪eʃe ɐ͡ɪ̯ʃ
ছেলে এক মাস আগে বাংলাদেশে আসে এই ঈদে তাদের বিয়ে হওয়ার কথা,Mymensingh পোলা এক মাস আগে বাংলাদেশে আসে এই ঈদে তারার বিয়া হওয়ার কথা,mɪnʃɪnh polɐ ɛk mɐʃ ɐge bɐŋlɐd̪eʃe ɐʃe e͡ɪ̯ ɪd̪e t̪ɐɾɐɾ bɪʲɐ hoʷɐɾ kɔt̪ʰɐ
